# Pulse programs cited in doc/ppcatalogue-2.pdf (Parella, NMRGuide Vol. II, TopSpin 3.0)
# columns: pulseprogram  parameterset(as printed in catalogue, '-' if not given)
b_hncacbgp3d	B_HNCACBGP3D
hncannhgpwg2h3d	-
hncannhgpwg2h3d.2	-
hncannhgpwg3d	-
hncannhgpwg3d.2	-
hncggp3d.1	HNCGGP3D.1
hncggp3d.2	HNCGGP3D.2
hncocacagp3d	HNCOCACAGP3D
hncocacbgp2h3d	HNCOCACBGP2H3D
hncocacbgp3d	HNCOCACBGP3D
hncocacbgpwg2h3d	HNCOCACBGPWG2H3D
hncocacbgpwg3d	HNCOCACBGPWG3D
hncocacgp3d	HNCOCACGP3D
hncocagp2h3d	HNCOCAGP2H3D
hncocagp2h4d	-
hncocagp3d	HNCOCAGP3D
hncocagp4d	-
hncocagpwg2h3d	HNCOCAGPWG2H3D
hncocagpwg2h4d	-
hncocagpwg3d	HNCOCAGPWG3D
hncocagpwg4d	-
hncocannhgp2h3d	-
hncocannhgp2h3d.2	-
hncocannhgp3d	-
hncocannhgp3d.2	-
hncocannhgpwg2h3d	-
hncocannhgpwg2h3d.2	-
hncocannhgpwg3d	-
hncocannhgpwg3d.2	-
hncocgp3d	HNCOCGP3D
hncocogp3d	HNCOCOGP3D
hncoecosgp3d	-
hncogp3d	HNCOGP3D
hncogphb3d	HNCOGPHB3D
hncogphb3d.2	-
hncogphb3d2	HNCOGPHB3D2
hncogpia	-
hncogprc3d1	HNCOGRPC3D1
hncogprc3d2	HNCOGRPC3D2
hncogprc3d3	HNCOGRPC3D3
hncogprc3d4	HNCOGRPC3D4
hncogprc3d5	HNCOGRPC3D5
hncogprc3d6	HNCOGRPC3D6
hncogprc3d7	-
hncogprcwg3d1	HNCOGRPCWG3D1
hncogprcwg3d2	HNCOGRPCWG3D2
hncogprcwg3d3	HNCOGRPCWG3D3
hncogprcwg3d4	HNCOGRPCWG3D4
hncogprcwg3d5	HNCOGRPCWG3D5
hncogprcwg3d6	HNCOGRPCWG3D6
hncogprcwg3d7	-
hncogpwg3d	HNCOGPWG3D
hnconoef3gpsi	-
hncorexf3gpsi	-
hncot1f3gpsi	-
hncot2f3gpsi	-
hncotrf3gpsi	-
hnhagp3d	HNHAGP3D
hnhbecosgp3d	HNHBECOSGP3D
hnhbgp3d	HNHBGP3D
hnnhdigp3d	HNNHDIGP3D
hsqcccf3gpphwg	-
hsqcctetgpjclr	-
hsqcctetgpsp.2	-
hsqcdietgpsisp3d.2	-
hsqcetexf3gp	-
hsqcetf3gp	-
hsqcetf3gpxy	-
hsqcetfpf3gpjcsi	HSQCETFPFGPJCSI
hsqcetgpml3d.2	-
hsqcexf3gpwgph	-
hsqcf3gpnowgx33d	-
hsqcfpf3gpphwg	-
hsqcgpnowgx33d	-
hsqcnoef3gpsi	HSQCNOEF3GPSI
hsqcnoegpsi	HSQCNOEGPSI
hsqcnoegpsi.2	HSQCNOEGPSI
hsqcnoesyhmqccngp4d	-
hsqcnoesyhsqcccgp4d	HSQCNOESYHSQCCCGP4D
hsqcnoesyhsqccngp4d	HSQCNOESYHSQCCNGP4D
hsqcnoesyhsqcncgp4d	HSQCNOESYHSQCNCGP4D
hsqcnoesyhsqcnngp4d	HSQCNOESYHSQCNNGP4D
hsqcrexetf3gpsi3d	-
hsqct1etf3gpsi	HSQCT1ETF3GPSI
hsqct1etf3gpsi.2	HSQCT1ETF3GPSI.2
hsqct1etf3gpsi3d	HSQCT1ETF3GPSI3D
hsqct1etf3gpsi3d.2	HSQCT1ETF3GPSI3D.2
hsqct1etgpsi3d	-
hsqct1etgpsi3d.2	-
hsqct2etf3gpsi	HSQCT2ETF3GPSI
hsqct2etf3gpsi3d	HSQCT2ETF3GPSI3D
hsqct2etgpsi3d.2	-
hsqctretf3gpsi	HSQCTRETF3GPSI
hsqctretf3gpsi3d	HSQCTRETF3GPSI3D
hsqctretf3gpsi3d.2	-
mlevhmqcpr3d	-
mlevhsqcetf3gp3d	-
mlevhsqcetgp3d	MLEVHSQCETGP3D
mlevnoesy3d	-
mlevroesy3d	-
music_cm_3d	-
music_cm_3d_2	-
music_de_3d	-
music_de_3d_2	-
music_fhyw_3d	-
music_fhyw_3d_2	-
music_gly_3d	-
music_gly_3d_2	-
music_ile_3d	-
music_ile_3d_2	-
music_kr_3d	-
music_kr_3d_2	-
music_lavia_3d	-
music_lavia_3d_2	-
music_pro_1_3d	-
music_pro_1_3d.2	-
music_pro_2_3d	-
music_pro_2_3d.2	-
music_qn_3d	-
music_qn_3d_2	-
music_ser_3d	-
music_ser_3d_2	-
music_tavi_3d	-
music_tavi_3d_2	-
music_trpe_2d	-
na_c6noesyhsqcgp3d	-
na_ghcchfwdigp3d	NA_GHCCHFWDIGP3D
na_h56c56c4n3h_3d	-
na_h56c56c4n3h_3d2	-
na_h5c5c4n3h_3d	-
na_h68c68n19c42	-
na_hcchecgp3d	NA_HCCHECGP3D
na_hcchfwdiecgp3d	NA_HCCHFWDIECGP3D
na_hcchfwdiecgpjr3d	-
